date,open,close,high,low,volume
2020-01-02,1005.617,1019.723,1019.910,1005.617,2193852.760
2020-01-03,1021.669,1024.482,1029.071,1018.681,2160583.480
2020-01-06,1019.999,1027.277,1040.140,1019.999,2663011.810
2020-01-07,1025.663,1043.083,1043.083,1019.858,2675921.670
2020-01-08,1035.836,1051.160,1059.436,1034.513,3207626.500
2020-01-09,1060.580,1078.312,1081.404,1060.580,2843420.950
2020-01-10,1082.310,1076.438,1088.543,1076.438,2515474.870
2020-01-13,1076.762,1105.848,1105.848,1069.779,2466259.190
2020-01-14,1107.776,1118.306,1133.899,1107.776,3262463.820
2020-01-15,1113.252,1114.766,1120.346,1105.575,2420464.210
2020-01-16,1116.508,1154.303,1161.477,1116.508,3085287.990
2020-01-17,1159.372,1238.664,1252.556,1159.372,5873596.710
2020-01-20,1239.439,1240.509,1270.359,1208.690,5202591.970
2020-01-21,1233.646,1195.014,1247.841,1194.797,4206788.730
2020-01-22,1178.784,1244.525,1247.610,1157.290,4794740.040
2020-01-23,1219.233,1202.102,1262.436,1177.094,4425934.370
2020-02-03,1018.276,1030.550,1082.789,1015.597,5466543.160
2020-02-04,1049.956,1153.232,1153.232,1049.956,5286206.050
2020-02-05,1166.973,1203.613,1240.368,1166.973,5860213.390
2020-02-06,1191.731,1238.757,1251.843,1191.731,5589981.660
2020-02-07,1240.038,1307.757,1307.757,1234.234,5664784.580
2020-02-10,1310.526,1322.250,1336.526,1293.430,5932906.940
2020-02-11,1318.420,1283.572,1318.420,1266.214,5037530.860
2020-02-12,1274.796,1348.702,1360.549,1274.796,4763905.790
2020-02-13,1360.129,1360.709,1409.684,1353.045,6144055.010
2020-02-14,1359.373,1327.224,1382.955,1305.974,5310166.420
2020-02-17,1332.965,1381.553,1381.553,1332.965,4969888.920
2020-02-18,1381.583,1399.384,1404.712,1372.526,4905608.710
2020-02-19,1398.781,1373.444,1412.169,1373.444,4783190.390
2020-02-20,1377.756,1348.338,1390.019,1321.734,4222266.190
2020-02-21,1337.557,1346.863,1373.667,1337.557,4475454.980
2020-02-24,1341.988,1351.710,1359.227,1328.747,4199988.200
2020-02-25,1312.479,1367.368,1371.576,1312.479,4611598.760
2020-02-26,1348.075,1288.242,1361.006,1286.345,5015814.020
2020-02-27,1293.187,1264.941,1293.187,1251.451,5032823.380
2020-02-28,1206.858,1191.055,1231.094,1187.096,5132083.970
2020-03-02,1202.959,1252.624,1259.076,1194.937,4979736.010
2020-03-03,1278.269,1285.034,1332.835,1272.063,5122939.270
2020-03-04,1268.834,1255.723,1277.686,1226.802,3819524.080
2020-03-05,1277.706,1264.788,1277.706,1246.714,4312615.620
2020-03-06,1246.096,1243.373,1255.074,1237.623,3261213.400
2020-03-09,1216.035,1171.859,1223.246,1171.859,3872702.670
2020-03-10,1148.397,1216.328,1216.328,1135.209,4064920.400
2020-03-11,1218.516,1184.710,1233.426,1184.710,4248509.270
